price_billion,area_m2,bedrooms_num,district,direction,furniture_std,legal_std,floors_num,frontage_m,road_width_m
10.9,40.0,3.0,Thanh Xuân,Tây,Cơ bản,Sổ đỏ/Sổ hồng,5.0,4.2,2.1
33.0,110.0,6.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,7.0,7.0
33.0,76.4,5.0,Nam Từ Liêm,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,7.0,6.0,9.0
25.5,97.0,3.0,Long Biên,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,3.0,6.0,7.0
15.7,50.0,4.0,Hà Đông,Đông - Nam,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,5.0
12.5,50.0,5.0,Tây Hồ,Không rõ,Không rõ,Không rõ,5.0,6.0,5.0
43.0,85.0,5.0,Cầu Giấy,Không rõ,Không rõ,Không rõ,8.0,5.2,6.0
9.8,36.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.0,5.0
22.5,66.0,4.0,Hai Bà Trưng,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,4.0,4.5,3.0
17.4,45.0,4.0,Ba Đình,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.0,3.5
3.8,38.0,4.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,5.0
17.0,56.0,5.0,Thanh Xuân,Không rõ,Không rõ,Không rõ,5.0,4.2,4.0
8.5,45.0,4.0,Tây Hồ,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,5.0
31.9,65.0,4.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,7.0,5.0,6.0
8.6,44.0,3.0,Hà Đông,Không rõ,Không rõ,Không rõ,3.0,4.5,3.0
23.0,60.0,6.0,Ba Đình,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,8.0,5.0,4.0
7.8,32.0,3.0,Long Biên,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,3.5,2.0
5.4,40.0,4.0,Khác,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,5.0,4.0
9.5,35.0,8.0,Hoàng Mai,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.5,4.0
33.0,63.0,5.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,7.0,4.5,20.0
9.5,50.0,5.0,Thanh Xuân,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,4.2,4.0
15.5,47.0,4.0,Long Biên,Đông - Nam,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.0,5.0
16.7,75.0,4.0,Hà Đông,Không rõ,Không rõ,Không rõ,5.0,4.5,4.0
9.3,38.0,3.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.5,3.3
9.0,33.5,3.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.4,2.5
10.2,39.0,5.0,Nam Từ Liêm,Không rõ,Không rõ,Không rõ,5.5,4.5,3.5
10.9,32.0,3.0,Đống Đa,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,5.0,4.5,2.8
32.8,140.0,4.0,Long Biên,Không rõ,Đầy đủ,Không rõ,7.0,7.0,5.0
12.9,60.0,5.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.0,5.0
11.0,45.0,5.0,Nam Từ Liêm,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.0,4.0
35.5,55.0,4.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.6,4.0
14.8,50.0,5.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.3
7.6,37.0,3.0,Ba Đình,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,5.0,4.0
14.57,40.0,3.0,Ba Đình,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,5.0,4.0
9.0,45.0,4.0,Cầu Giấy,Không rõ,Không rõ,Không rõ,5.0,4.8,6.0
20.5,66.0,21.0,Hoàng Mai,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,5.0,2.0
27.0,140.0,6.0,Ba Đình,Đông - Bắc,Cơ bản,Sổ đỏ/Sổ hồng,3.0,4.0,2.5
23.2,60.0,6.0,Tây Hồ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,6.0,15.0
46.0,110.0,5.0,Tây Hồ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,8.0,9.0,5.0
7.9,33.0,4.0,Hai Bà Trưng,Không rõ,Không rõ,Không rõ,5.0,4.5,3.0
23.6,71.9,4.0,Đống Đa,Nam,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.7,4.0
7.6,39.0,4.0,Thanh Xuân,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,4.0,3.9,5.0
16.1,78.0,4.0,Đống Đa,Không rõ,Không rõ,Không rõ,5.0,4.5,3.3
12.8,63.0,3.0,Hà Đông,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,3.0,5.1,4.0
8.7,45.0,4.0,Ba Đình,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,6.0,5.0,4.0
20.0,74.0,4.0,Hoàng Mai,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.0,6.0
10.8,36.0,3.0,Thanh Xuân,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,3.4,2.0
12.0,71.0,4.0,Khác,Đông - Nam,Không rõ,Sổ đỏ/Sổ hồng,2.0,6.45,4.0
22.8,80.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,5.5,8.0
8.7,30.0,2.0,Bắc Từ Liêm,Đông - Nam,Cơ bản,Sổ đỏ/Sổ hồng,3.0,7.0,3.0
8.9,45.0,4.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,3.3
12.0,46.0,4.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.2,3.6
6.95,30.0,1.0,Hoàng Mai,Không rõ,Không nội thất,Sổ đỏ/Sổ hồng,1.0,3.3,2.5
9.3,45.0,4.0,Ba Đình,Không rõ,Không rõ,Khác,5.0,5.0,4.0
11.0,45.0,2.0,Ba Đình,Không rõ,Không nội thất,Sổ đỏ/Sổ hồng,2.0,5.0,2.5
9.8,58.0,6.0,Hoàng Mai,Không rõ,Không rõ,Không rõ,5.0,4.25,4.0
21.5,54.5,4.5,Bắc Từ Liêm,Không rõ,Không rõ,Không rõ,5.0,6.0,5.0
29.9,110.0,5.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0
29.9,112.0,5.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0
23.0,60.0,8.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.5,3.3
6.0,40.0,3.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.3
11.8,46.0,5.0,Thanh Xuân,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.0,3.0
16.5,60.0,4.0,Thanh Xuân,Đông - Nam,Không rõ,Sổ đỏ/Sổ hồng,4.0,4.0,3.0
11.4,50.0,6.0,Nam Từ Liêm,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,8.5,4.0
23.0,80.0,22.0,Hoàng Mai,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.25,4.0
24.5,80.0,23.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,5.0,3.0
18.5,55.0,5.0,Cầu Giấy,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,6.0,6.0
46.8,248.0,4.0,Long Biên,Không rõ,Không rõ,Không rõ,5.0,5.0,5.0
13.5,140.0,4.0,Khác,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,3.0,6.5,4.0
13.48,74.0,4.0,Hai Bà Trưng,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,5.0,4.5,3.0
16.9,58.0,4.0,Long Biên,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.0,8.0
23.7,68.0,4.0,Long Biên,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,5.5,5.0
