price_billion,area_m2,bedrooms_num,district,direction,balcony_direction,furniture_std,legal_std
5.9,53.4,1.0,Khác,Nam,Không rõ,Không rõ,Sổ đỏ/Sổ hồng
4.9,58.0,2.0,Hoàng Mai,Không rõ,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng
4.55,47.0,2.0,Cầu Giấy,Không rõ,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng
18.0,145.0,3.0,Cầu Giấy,Không rõ,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
19.55,230.0,4.0,Thanh Xuân,Không rõ,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng
8.45,107.0,3.0,Hà Đông,Không rõ,Tây - Bắc,Không rõ,Sổ đỏ/Sổ hồng
3.0,48.0,1.0,Gia Lâm,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
37.0,221.0,4.0,Tây Hồ,Không rõ,Đông - Nam,Không rõ,Không rõ
4.9,57.0,2.0,Hoàng Mai,Đông - Nam,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
5.3,64.0,2.0,Nam Từ Liêm,Không rõ,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
7.95,65.0,2.0,Nam Từ Liêm,Không rõ,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
6.0,61.0,2.0,Nam Từ Liêm,Không rõ,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
